DATE,CSX1,CSX2,CSX3,CSX4,CSX5
20180808,0,0,0,0,0
20180909,-0.2,0,-2.7,-0.4,-0.3
20181007,0.4,-0.6,-4.4,0.8,1.5
20181023,1.1,0.7,-4.2,0.1,0.9
20181116,1.6,1.9,-7.3,3.5,5.3
20181128,-1.2,1.4,-3.6,2.3,3.1
20190103,-5.2,-4.4,-3.3,1.4,-0.1
20190111,0.4,0.5,-1.7,4.9,5
20190131,5.2,2.1,-3.6,-0.1,0.1
20190216,-1.4,-1.1,-1.8,-0.8,-0.5
20190308,-0.7,-0.5,-2.5,0.6,1.4
20190316,0.6,-0.5,-2.8,1.8,1.7
20190409,-3.6,-2.8,-4.2,-0.6,0
20190425,-1.3,-1.7,-4.1,-1.2,-1.1
20190503,-0.8,-2.8,-3.5,-2.8,-2.2
20190612,-0.3,-0.6,-2.6,0.1,0.3
20190730,-1.8,-3,-3,-0.9,-0.4
20191002,3.7,-0.6,-4.3,-1.6,-1.5
20191126,-6.7,1.9,-0.2,0.3,1
20200215,-0.9,-1.3,-2.9,0.3,0.4
20200801,-0.8,-1.7,-1.2,1,1.6
20200926,0.1,-0.4,-4.3,2.5,2.7
20201223,-3.2,-2,-3.3,2.1,1.7
20210108,-2.8,-1.8,-5.6,1.3,1.2
20210209,0.1,-1.7,-0.5,2.4,0.6
20210217,-1.6,0.2,4,3.3,3.1
20210305,-0.7,-1.6,-2.5,0.9,0.8
20210422,-2.8,-3.5,-1.5,-2.2,-2.1
20210508,-1.1,-3,-3.9,-2.1,-1.4
20210601,-1.7,-2.3,-1.9,-0.1,0.7
20210703,-2.1,-2.8,1,0,-0.2
20210828,-1.2,-4.2,-3.2,-1.3,-1.1
20210929,0.6,-0.5,-2.7,1.2,1.8
20211007,1.2,0.2,-2.4,2.1,2.4
20211015,-1.3,-1.2,-1.9,0.8,1.2
20211202,-4.1,-4.9,-2.9,-1.9,-3.8
20220127,-6.5,-7.4,-6.6,-3.2,-3.4
20220511,-2.6,-5.3,-1.5,-1.8,-1.9
